Country,Internet hosts,Rank
&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Total,903909315,—
United States *,505000000,1
Japan,64453000,2
Brazil,26577000,3
Italy,25662000,4
China,20602000,5
Germany,20043000,6
France,17266000,7
Australia,17081000,8
Mexico,16233000,9
Russia,14865000,10
Netherlands,13699000,11
Poland,13265000,12
Argentina,11232000,13
Canada,8743000,14
United Kingdom,8107000,15
Turkey,7093000,16
India,6746000,17
Taiwan,6272000,18
Sweden,5978000,19
Switzerland,5301000,20
Belgium,5192000,21
Finland,4763000,22
South Africa,4761000,23
Colombia,4410000,24
Denmark,4297000,25
Spain,4228000,26
Czech Republic,4148000,27
Portugal,3748000,28
Norway,3588000,29
Austria,3512000,30
Thailand,3399000,31
Greece,3201000,32
Hungary,3145000,33
New Zealand,3026000,34
Romania,2667000,35
Israel,2483000,36
Ukraine,2173000,37
Chile,2152000,38
Singapore,1960000,39
Ireland,1387000,40
Slovakia,1384000,41
Indonesia,1344000,42
Lithuania,1205000,43
Serbia,1102000,44
Uruguay,1036000,45
Venezuela,1016000,46
Bulgaria,976277,47
Hong Kong,870041,48
Estonia,865494,49
Croatia,729420,50
Moldova,711564,51
Philippines,425812,52
Malaysia,422470,53
Slovenia,415581,54
Dominican Republic,404500,55
Iceland,369969,56
Pakistan,365813,57
Latvia,359604,58
Georgia,357864,59
Guatemala,357552,60
United Arab Emirates,337804,61
South Korea,315697,62
Nicaragua,296068,63
Belarus,295217,64
Paraguay,280658,65
Morocco,277338,66
Cyprus,252013,67
Luxembourg,250900,68
Trinidad and Tobago,241690,69
Peru,234102,70
Egypt,200430,71
Iran,197804,72
Armenia,194142,73
Vietnam,189553,74
Bolivia,180988,75
Ecuador,170538,76
Bosnia and Herzegovina,155252,77
Costa Rica,147258,78
Saudi Arabia,145941,79
Tuvalu,145158,80
Kyrgyzstan,115573,81
Mozambique,89737,82
Niue,79508,83
Namibia,78280,84
British Indian Ocean Territory,75006,85
Turks and Caicos Islands,73217,86
Bangladesh,71164,87
Kenya,71018,88
Jordan,69473,89
Kazakhstan,67464,90
Lebanon,64926,91
Macedonia,62826,92
Ghana,59086,93
Uzbekistan,56075,94
Mauritius,51139,95
Brunei,49457,96
Bahrain,47727,97
Azerbaijan,46856,98
Cocos (Keeling) Islands,42820,99
Nepal,41256,100
Aruba,40560,101
Madagascar,38392,102
French Polynesia,37949,103
New Caledonia,34231,104
Yemen,33206,105
Uganda,32683,106
Honduras,30955,107
Zimbabwe,30615,108
Andorra,28383,109
Tanzania,26074,110
Monaco,26009,111
Guyana,24936,112
El Salvador,24070,113
Cayman Islands,23472,114
Fiji,21739,115
Angola,20703,116
Bahamas,20661,117
Mongolia,20084,118
Bermuda,20040,119
Samoa,18013,120
Libya,17926,121
Zambia,16571,122
Greenland,15645,123
Albania,15528,124
Malta,14754,125
Bhutan,14590,126
Oman,14531,127
Liechtenstein,14278,128
Cambodia,13784,129
Antigua and Barbuda,11532,130
Lesotho,11030,131
Panama,11022,132
San Marino,11015,133
Cameroon,10207,134
Montenegro,10088,135
Sri Lanka,9552,136
Cote d'Ivoire,9115,137
Nauru,8162,138
Antarctica,7764,139
Faroe Islands,7575,140
"SHN Saint Helena, Ascension and<br/>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Tristan da Cunha",6729,141
Tajikistan,6258,142
Vanuatu,5655,143
Tonga,5367,144
Papua New Guinea,5006,145
U.S. Virgin Islands,4790,146
Federated States of Micronesia,4668,147
Solomon Islands,4370,148
Jamaica,3906,149
Cook Islands,3562,150
Gibraltar,3509,151
Belize,3392,152
Maldives,3296,153
Cuba,3244,154
Christmas Island,3028,155
Kuwait,2771,156
Wallis and Futuna,2760,157
Swaziland,2744,158
Democratic Republic of the Congo,2515,159
Montserrat,2431,160
American Samoa,2387,161
Tokelau,2069,162
Botswana,1806,163
Burkina Faso,1795,164
Sao Tome and Principe,1678,165
Laos,1532,166
Barbados,1524,167
Rwanda,1447,168
Nigeria,1234,169
Togo,1168,170
Malawi,1099,171
Burma,1055,172
Qatar,897,173
Isle of Man,895,174
Dominica,723,175
Turkmenistan,714,176
Eritrea,701,177
Algeria,676,178
Gambia,656,179
Tunisia,576,180
Haiti,555,181
British Virgin Islands,505,182
Benin,491,183
South Georgia and the South Sandwich Islands,470,184
Puerto Rico,469,185
Niger,454,186
Mali,437,187
Syria,416,188
Macau,327,189
Kiribati,327,190
Saint Vincent and the Grenadines,305,191
Sierra Leone,282,192
Anguilla,269,193
Jersey,264,194
Timor-Leste,252,195
Seychelles,247,196
Guernsey,239,197
Senegal,237,198
Burundi,229,199
Afghanistan,223,200
Djibouti,215,201
Suriname,188,202
Somalia,186,203
Ethiopia,179,204
Norfolk Island,128,205
Gabon,127,206
Falkland Islands,110,207
Vatican City,107,208
Heard Island and McDonald Islands,102,209
Saint Lucia,100,210
Sudan,99,211
Guinea-Bissau,90,212
Grenada,80,213
Saint Kitts and Nevis,54,214
French Southern and Antarctic Lands,53,215
Republic of the Congo,45,216
Cape Verde,38,217
Pitcairn Islands,26,218
Iraq,26,219
Guam,23,220
Mauritania,22,221
Central African Republic,20,222
Northern Mariana Islands,17,223
Guinea,15,224
Saint Pierre and Miquelon,15,225
Comoros,14,226
North Korea,8,227
Equatorial Guinea,7,228
Liberia,7,229
Chad,6,230
Bouvet Island,6,231
Palau,4,232
Marshall Islands,3,233
